"Year","Drama","Musical/Comedy","Drama Actor","Musical/Comedy Actor","Drama Actress","Musical/Comedy Actress","Director"
"1974–1975","Chinatown","The Longest Yard","Jack Nicholson,Chinatown","Art Carney,Harry and Tonto","Gena Rowlands,A Woman Under the Influence","Raquel Welch,The Three Musketeers","Roman Polanski,Chinatown"
"1975–1976","One Flew Over the Cuckoo's Nest","The Sunshine Boys","Jack Nicholson,One Flew Over the Cuckoo's Nest","George Burns,The Sunshine Boys and Walter Matthau,The Sunshine Boys (TIE)","Louise Fletcher,One Flew Over the Cuckoo's Nest","Ann-Margret,Tommy","Miloš Forman,One Flew Over the Cuckoo's Nest"
"1976–1977","Rocky","A Star Is Born","Peter Finch,Network","Kris Kristofferson,A Star Is Born","Faye Dunaway,Network","Barbra Streisand,A Star Is Born","Sidney Lumet,Network"
"1977–1978","The Turning Point","The Goodbye Girl","Richard Burton,Equus","Richard Dreyfuss,The Goodbye Girl","Jane Fonda,Julia","Diane Keaton,Annie Hall and Marsha Mason,The Goodbye Girl (TIE)","Herbert Ross,The Turning Point"
"1978–1979","Midnight Express","Heaven Can Wait","Jon Voight,Coming Home","Warren Beatty,Heaven Can Wait","Jane Fonda,Coming Home","Ellen Burstyn,Same Time, Next Year andMaggie Smith,California Suite (TIE)","Michael Cimino,The Deer Hunter"
"1979–1980","Kramer vs. Kramer","Breaking Away","Dustin Hoffman,Kramer vs. Kramer","Peter Sellers,Being There","Sally Field,Norma Rae","Bette Midler,The Rose","Francis Ford Coppola,Apocalypse Now"
"1980–1981","Ordinary People","Coal Miner's Daughter","Robert De Niro,Raging Bull","Ray Sharkey,The Idolmaker","Mary Tyler Moore,Ordinary People","Sissy Spacek,Coal Miner's Daughter","Robert Redford,Ordinary People"
"1981–1982","On Golden Pond","Arthur","Henry Fonda,On Golden Pond","Dudley Moore,Arthur","Meryl Streep,The French Lieutenant's Woman","Bernadette Peters,Pennies from Heaven","Warren Beatty,Reds"
"1982–1983","E.T. the Extra-Terrestrial","Tootsie","Ben Kingsley,Gandhi","Dustin Hoffman,Tootsie","Meryl Streep,Sophie's Choice","Julie Andrews,Victor Victoria","Richard Attenborough,Gandhi"
"1983–1984","Terms of Endearment","Yentl","Tom Courtenay,The Dresser andRobert Duvall,Tender Mercies (TIE)","Michael Caine,Educating Rita","Shirley MacLaine,Terms of Endearment","Julie Walters,Educating Rita","Barbra Streisand,Yentl"
"1984–1985","Amadeus","Romancing the Stone","F. Murray Abraham,Amadeus","Dudley Moore,Micki & Maude","Sally Field,Places in the Heart","Kathleen Turner,Romancing the Stone","Miloš Forman,Amadeus"
"1985–1986","Out of Africa","Prizzi's Honor","Jon Voight,Runaway Train","Jack Nicholson,Prizzi's Honor","Whoopi Goldberg,The Color Purple","Kathleen Turner,Prizzi's Honor","John Huston,Prizzi's Honor"
"1986–1987","Platoon","Hannah and Her Sisters","Bob Hoskins,Mona Lisa","Paul Hogan,""Crocodile"" Dundee","Marlee Matlin,Children of a Lesser God","Sissy Spacek,Crimes of the Heart","Oliver Stone,Platoon"
"1987–1988","The Last Emperor","Hope and Glory","Michael Douglas,Wall Street","Robin Williams,Good Morning, Vietnam","Sally Kirkland,Anna","Cher,Moonstruck","Bernardo Bertolucci,The Last Emperor"
"1988–1989","Rain Man","Working Girl","Dustin Hoffman,Rain Man","Tom Hanks,Big","Jodie Foster,The Accused, Shirley MacLaine, Madame Sousatzka andSigourney Weaver, Gorillas in the Mist (TIE)","Melanie Griffith,Working Girl","Clint Eastwood,Bird"
"1989–1990","Born on the Fourth of July","Driving Miss Daisy","Tom Cruise,Born on the Fourth of July","Morgan Freeman,Driving Miss Daisy","Michelle Pfeiffer,The Fabulous Baker Boys","Jessica Tandy,Driving Miss Daisy","Oliver Stone,Born on the Fourth of July"
